"","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc"
"266846",12000," 36 months",10.99,"B","B3","4 years","MORTGAGE",60000,"Not Verified","debt_consolidation","980xx",19.1,3,"Feb-96",0,11,0,3996,20,27
"64619",15800," 60 months",21,"E","E1","10+ years","MORTGAGE",45000,"Verified","debt_consolidation","441xx",30.61,3,"Feb-98",0,9,0,8961,62.7,28
"479135",31500," 36 months",17.86,"D","D5","< 1 year","OWN",91000,"Verified","debt_consolidation","323xx",10.9,0,"Dec-07",0,12,0,8468,58,20
"851209",10000," 60 months",11.44,"B","B4","10+ years","MORTGAGE",59000,"Source Verified","credit_card","774xx",14.59,1,"Feb-95",0,13,0,10332,33.2,28
"267476",10400," 36 months",11.67,"B","B4","< 1 year","RENT",60000,"Source Verified","debt_consolidation","275xx",16.72,0,"Jul-04",1,6,0,1649,82.4,12
"95547",9800," 36 months",11.55,"B","B3","8 years","RENT",36500,"Source Verified","debt_consolidation","900xx",25.02,0,"May-00",0,9,0,8151,82.3,15
"876767",14000," 36 months",14.99,"C","C5","10+ years","RENT",35000,"Not Verified","debt_consolidation","112xx",28.19,1,"Mar-01",0,11,0,7091,48.9,19
"802924",12000," 36 months",5.93,"A","A1","< 1 year","RENT",36000,"Not Verified","debt_consolidation","087xx",14.1,0,"Jun-06",0,10,0,8506,21.6,30
"364407",15000," 60 months",14.49,"C","C4","10+ years","RENT",60000,"Source Verified","debt_consolidation","640xx",8.02,1,"Mar-99",0,6,0,5645,50.9,19
"65462",6250," 36 months",14.3,"C","C1","< 1 year","RENT",22800,"Not Verified","credit_card","881xx",21.89,1,"Apr-06",0,7,0,7900,36.1,15
"362211",20000," 60 months",16.99,"D","D3","5 years","MORTGAGE",85000,"Source Verified","debt_consolidation","010xx",16.9,3,"Mar-01",1,16,0,23955,50,40
"338536",35000," 60 months",13.98,"C","C3","5 years","MORTGAGE",1e+05,"Verified","credit_card","923xx",15.73,0,"Mar-92",0,7,0,41350,88.9,22
"644352",15600," 36 months",8.18,"B","B1","10+ years","MORTGAGE",68000,"Source Verified","debt_consolidation","347xx",6.11,0,"Aug-98",0,4,0,4583,28.1,15
"456091",15000," 36 months",11.99,"B","B3","8 years","MORTGAGE",75000,"Source Verified","debt_consolidation","925xx",14.95,0,"Nov-02",2,11,1,9016,43.8,22
"390634",8800," 36 months",11.67,"B","B4","3 years","MORTGAGE",20000,"Not Verified","credit_card","967xx",19.87,0,"Feb-03",1,13,1,10081,39.8,21
"803178",30000," 60 months",13.99,"C","C4","10+ years","MORTGAGE",1e+05,"Source Verified","credit_card","604xx",24.19,0,"Feb-77",2,17,0,45248,41.5,32
"277454",8000," 36 months",12.99,"C","C1","10+ years","RENT",20000,"Not Verified","debt_consolidation","194xx",16.33,0,"Aug-02",0,3,0,7382,74.6,5
"422360",7200," 36 months",14.64,"C","C3","8 years","MORTGAGE",56000,"Verified","other","913xx",20.72,3,"Apr-98",2,7,0,5641,50,34
"234359",18000," 36 months",9.49,"B","B2","10+ years","MORTGAGE",150000,"Not Verified","credit_card","633xx",16.57,1,"Aug-91",1,7,0,5963,35.3,44
"470513",35000," 60 months",19.89,"E","E3","7 years","RENT",165000,"Source Verified","debt_consolidation","773xx",20.25,0,"Dec-01",1,15,1,16610,73.5,38
"882634",1000," 36 months",9.49,"B","B2","10+ years","MORTGAGE",65000,"Not Verified","debt_consolidation","550xx",8.77,0,"Dec-95",0,18,1,15029,45.5,31
"169067",18225," 36 months",12.12,"B","B3","8 years","RENT",60000,"Not Verified","debt_consolidation","900xx",11.88,0,"Dec-98",0,7,0,28926,78.7,22
"738219",28000," 36 months",5.32,"A","A1","3 years","OWN",126000,"Source Verified","debt_consolidation","853xx",15.74,0,"Oct-69",0,12,0,45269,51.1,30
"348669",20000," 60 months",13.35,"C","C2","< 1 year","MORTGAGE",80000,"Source Verified","credit_card","280xx",20.96,0,"Nov-01",2,20,0,17612,46.7,46
"621175",8000," 36 months",5.32,"A","A1","5 years","MORTGAGE",49300,"Not Verified","debt_consolidation","286xx",13.95,0,"Aug-02",0,13,0,8405,44.9,17
"777772",12000," 60 months",17.57,"D","D4","10+ years","MORTGAGE",82000,"Source Verified","debt_consolidation","919xx",14.63,0,"Nov-00",0,11,1,40801,88.3,22
"404335",21000," 60 months",15.61,"C","C5","10+ years","MORTGAGE",115000,"Not Verified","credit_card","474xx",19.07,0,"Jan-89",1,17,1,53452,86.1,28
"78879",24000," 36 months",10.99,"B","B2","3 years","RENT",113000,"Verified","debt_consolidation","922xx",19.5,0,"Jan-96",0,19,0,34074,56.6,43
"379684",9750," 36 months",14.49,"C","C4","10+ years","RENT",41000,"Source Verified","debt_consolidation","770xx",30.62,0,"Jan-99",0,25,0,10110,38,51
"781984",6000," 36 months",11.53,"B","B5","n/a","OWN",24000,"Verified","debt_consolidation","321xx",8,0,"Jun-99",1,7,1,5724,41.8,25
"671927",13975," 36 months",14.65,"C","C5","3 years","RENT",64000,"Not Verified","car","126xx",22.01,1,"Jul-02",2,10,0,6977,40,19
"68937",4000," 36 months",19.52,"D","D4","10+ years","MORTGAGE",95000,"Source Verified","debt_consolidation","760xx",19.97,0,"Jan-87",0,12,0,53940,91.6,31
"127068",28000," 36 months",13.11,"B","B4","2 years","RENT",85000,"Verified","debt_consolidation","019xx",15.81,0,"Feb-90",0,9,0,22075,51.3,16
"820275",5000," 36 months",13.99,"C","C4","5 years","MORTGAGE",55000,"Verified","debt_consolidation","620xx",1.37,1,"Jun-93",2,7,2,1931,32.2,27
"23415",10000," 36 months",5.79,"A","A2","6 years","MORTGAGE",75000,"Source Verified","debt_consolidation","498xx",18.67,0,"Feb-90",3,21,0,13910,24.6,44
"430434",14000," 60 months",14.16,"C","C2","< 1 year","MORTGAGE",60000,"Verified","debt_consolidation","300xx",3.92,0,"Sep-01",0,15,1,5318,78.2,20
"101597",22000," 60 months",11.55,"B","B3","10+ years","MORTGAGE",85000,"Source Verified","credit_card","986xx",13.34,0,"Jun-97",0,9,0,26262,53.8,20
"136486",8000," 36 months",12.12,"B","B3","9 years","MORTGAGE",70000,"Source Verified","home_improvement","723xx",17.33,0,"Nov-96",0,8,1,5282,50.8,15
"355860",1000," 36 months",11.67,"B","B4","10+ years","MORTGAGE",85000,"Not Verified","debt_consolidation","800xx",19.17,0,"Sep-97",0,14,0,18981,57.2,31
"862992",11400," 36 months",10.49,"B","B3","7 years","OWN",62000,"Verified","home_improvement","018xx",37.61,1,"Feb-03",2,25,0,7415,19,41
"676948",15000," 36 months",9.17,"B","B2","10+ years","MORTGAGE",79000,"Source Verified","credit_card","435xx",9.36,2,"Sep-00",0,8,0,16031,99,20
"757888",15000," 36 months",6.92,"A","A4","5 years","RENT",80001,"Source Verified","debt_consolidation","592xx",1.8,0,"Jul-90",0,4,0,4548,38.2,5
"45265",19000," 36 months",20.5,"E","E1","7 years","MORTGAGE",82700,"Verified","debt_consolidation","294xx",16.25,1,"Aug-89",3,8,0,7590,94.9,33
"209620",4600," 36 months",6.62,"A","A2","6 years","MORTGAGE",50000,"Not Verified","debt_consolidation","338xx",27.48,0,"Dec-90",1,16,0,6776,53.9,38
"460218",24000," 36 months",11.99,"B","B3","< 1 year","RENT",130000,"Source Verified","credit_card","941xx",14.87,0,"Sep-02",1,10,0,43477,56.1,13
"683475",12000," 60 months",12.69,"C","C2","2 years","RENT",40000,"Source Verified","credit_card","328xx",29.55,0,"Mar-95",0,10,0,10524,45.4,28
"631285",12000," 60 months",28.49,"G","G4","2 years","MORTGAGE",60000,"Verified","debt_consolidation","773xx",22.02,0,"Aug-09",1,10,0,3937,74.3,19
"218426",4750," 36 months",9.76,"B","B1","n/a","OWN",10380,"Verified","debt_consolidation","936xx",15.49,0,"Jul-95",1,4,0,4101,75.9,7
"171590",18000," 60 months",23.28,"F","F2","10+ years","OWN",45000,"Verified","debt_consolidation","264xx",34.19,0,"Apr-99",1,12,0,17198,89.6,24
"760827",5800," 36 months",15.61,"D","D1","7 years","RENT",65000,"Not Verified","debt_consolidation","946xx",13.04,0,"Sep-96",1,11,0,4069,46.8,21
"283772",19450," 60 months",15.61,"D","D1","6 years","RENT",50000,"Not Verified","debt_consolidation","478xx",24.89,0,"Jun-02",1,11,0,7727,36.6,36
"365869",10925," 36 months",11.67,"B","B4","2 years","OWN",36000,"Not Verified","debt_consolidation","494xx",22.27,5,"May-01",2,8,0,11018,82.2,24
"131769",14000," 60 months",17.27,"C","C5","10+ years","MORTGAGE",61000,"Verified","debt_consolidation","314xx",10.82,0,"Sep-03",0,6,0,167,16.7,24
"480537",20000," 36 months",14.48,"C","C5","4 years","RENT",90000,"Not Verified","debt_consolidation","330xx",11.2,0,"Jun-08",0,5,0,17523,78.2,8
"392808",15000," 60 months",16.29,"D","D2","10+ years","MORTGAGE",80000,"Verified","debt_consolidation","923xx",13.83,0,"Nov-05",1,7,0,14229,85.2,13
"783578",7375," 36 months",13.33,"C","C3","4 years","RENT",65000,"Source Verified","debt_consolidation","210xx",18.37,0,"Oct-07",1,7,0,5319,26.3,28
"222333",14900," 36 months",8.9,"A","A5","3 years","RENT",71000,"Verified","wedding","282xx",22.62,0,"Sep-01",0,14,0,6337,27.6,21
"429496",8000," 36 months",13.65,"C","C1","10+ years","RENT",29500,"Source Verified","credit_card","922xx",33.44,0,"Mar-06",0,5,0,9010,92.9,9
"814520",21600," 60 months",16.55,"D","D2","8 years","MORTGAGE",60000,"Source Verified","credit_card","774xx",30.54,0,"Sep-03",1,18,0,15874,62.3,37
"361011",5500," 36 months",9.17,"B","B1","8 years","MORTGAGE",35000,"Source Verified","credit_card","380xx",28.91,0,"Nov-91",4,7,0,4677,23.9,18
"148228",2500," 36 months",21.98,"E","E4","5 years","RENT",75000,"Verified","other","852xx",9.66,0,"Oct-95",1,4,0,14445,99.6,26
"885362",10000," 36 months",11.44,"B","B4","10+ years","RENT",85848,"Not Verified","other","027xx",27.3,1,"Mar-84",0,13,0,20361,69.5,48
"158562",19000," 36 months",11.14,"B","B2","n/a","OWN",42548,"Verified","credit_card","629xx",23.86,0,"Oct-95",0,15,0,29325,66.6,33
"443886",6000," 36 months",14.47,"C","C2","7 years","RENT",55000,"Not Verified","medical","115xx",8.77,0,"Nov-03",1,10,0,5976,70.3,18
"144504",15000," 36 months",12.12,"B","B3","10+ years","RENT",60000,"Verified","debt_consolidation","900xx",15.4,0,"Jul-98",1,5,0,2698,37,13
"769111",7200," 36 months",7.89,"A","A5","2 years","RENT",50000,"Source Verified","home_improvement","077xx",17.45,0,"Mar-05",1,11,0,6224,51.9,13
"150867",23050," 36 months",11.14,"B","B2","2 years","MORTGAGE",150000,"Verified","credit_card","301xx",18.74,0,"Aug-98",1,13,0,45743,81,23
"116328",6000," 36 months",13.05,"B","B5","6 years","MORTGAGE",90000,"Verified","debt_consolidation","083xx",13.12,0,"Mar-90",0,11,1,8450,72.8,43
"380275",18000," 36 months",6.03,"A","A1","1 year","RENT",83500,"Not Verified","credit_card","553xx",16.59,0,"Aug-02",0,8,0,10106,26.9,31
"428594",12000," 36 months",9.67,"B","B1","6 years","RENT",110000,"Not Verified","credit_card","917xx",12.12,0,"May-96",0,8,0,11157,86.5,11
"466579",8000," 36 months",5.32,"A","A1","1 year","RENT",50000,"Not Verified","credit_card","481xx",14.86,1,"Nov-02",0,21,0,6452,35.1,64
"418636",16800," 60 months",14.64,"C","C3","10+ years","RENT",101000,"Source Verified","debt_consolidation","775xx",22.09,0,"May-96",0,11,0,21805,70.1,27
"170760",3000," 36 months",8.9,"A","A5","7 years","RENT",50000,"Not Verified","debt_consolidation","085xx",8.09,1,"Dec-97",1,14,0,2931,4.3,36
"703648",8000," 36 months",13.99,"C","C4","n/a","MORTGAGE",90000,"Verified","home_improvement","070xx",22.51,8,"Jul-93",0,10,0,7830,51.5,32
"380790",11550," 36 months",16.99,"D","D3","2 years","RENT",55000,"Not Verified","debt_consolidation","481xx",19.99,1,"Oct-03",3,12,1,10316,78,28
"216028",7800," 60 months",17.99,"D","D2","1 year","MORTGAGE",114000,"Verified","other","760xx",16.81,0,"Jun-96",0,8,0,12232,92,19
"767148",24000," 36 months",6.92,"A","A4","< 1 year","RENT",91000,"Verified","credit_card","128xx",17.78,0,"Sep-94",1,16,0,31443,69,29
"678006",8000," 36 months",13.33,"C","C3","10+ years","OWN",62000,"Not Verified","home_improvement","062xx",12.56,0,"Oct-00",1,7,1,1449,11.7,14
"289629",12325," 60 months",15.61,"D","D1","3 years","RENT",1e+05,"Source Verified","debt_consolidation","184xx",15.89,0,"Mar-04",1,31,1,7995,39.6,50
"211164",12000," 36 months",13.99,"C","C1","5 years","MORTGAGE",188000,"Source Verified","vacation","763xx",8.47,1,"Oct-89",0,13,0,18044,92.5,31
"314979",32000," 36 months",11.67,"B","B4","2 years","MORTGAGE",80000,"Verified","debt_consolidation","852xx",19.02,0,"May-07",0,12,0,12830,27.4,19
"858192",6400," 36 months",6.03,"A","A1","10+ years","MORTGAGE",97000,"Not Verified","debt_consolidation","057xx",24.57,0,"Feb-92",0,8,0,19771,54.3,17
"468909",12000," 36 months",10.78,"B","B4","1 year","RENT",54000,"Source Verified","debt_consolidation","324xx",15.07,3,"Feb-10",0,14,0,11369,45.8,32
"607985",10000," 36 months",13.33,"C","C3","4 years","RENT",35000,"Source Verified","debt_consolidation","303xx",37.55,0,"Mar-07",0,7,0,15618,89.2,19
"243442",21125," 36 months",13.66,"C","C3","10+ years","MORTGAGE",53000,"Verified","debt_consolidation","959xx",20.81,0,"Aug-90",0,14,1,31006,53.3,18
"260975",4200," 36 months",12.99,"C","C2","9 years","OWN",64000,"Not Verified","other","083xx",20.68,0,"Aug-99",0,5,0,8121,95.5,8
"738563",6000," 36 months",12.29,"C","C1","< 1 year","OWN",43000,"Not Verified","debt_consolidation","335xx",4.94,0,"Oct-01",0,8,1,5215,56.7,17
"601572",35000," 60 months",18.25,"E","E1","10+ years","MORTGAGE",450000,"Source Verified","debt_consolidation","549xx",15.45,0,"Apr-99",1,16,0,27401,25.9,55
"112933",10400," 36 months",11.55,"B","B3","3 years","RENT",70000,"Source Verified","credit_card","080xx",14.06,0,"Jun-01",0,7,0,23017,91,26
"422305",20675," 60 months",15.61,"C","C5","10+ years","MORTGAGE",75000,"Source Verified","debt_consolidation","617xx",21.97,0,"May-88",1,15,0,11876,34.5,34
"24454",15000," 60 months",16.69,"E","E3","6 years","MORTGAGE",95000,"Verified","debt_consolidation","750xx",18.36,0,"Nov-06",1,9,0,1467,19.3,16
"736559",21000," 60 months",12.69,"C","C2","3 years","RENT",90000,"Source Verified","credit_card","070xx",8.35,0,"Dec-03",0,8,0,22656,48.9,13
"47541",20000," 36 months",13.53,"B","B5","10+ years","MORTGAGE",57000,"Source Verified","debt_consolidation","208xx",10.11,0,"May-99",0,11,0,26920,51.3,21
"186128",12175," 36 months",11.14,"B","B2","10+ years","MORTGAGE",35800,"Not Verified","debt_consolidation","485xx",15.75,0,"Aug-98",1,5,0,1543,10.8,15
"835725",5600," 36 months",16.99,"D","D3","3 years","RENT",35000,"Source Verified","other","492xx",33.2,4,"Jul-96",0,8,2,1748,39.7,15
"327099",6000," 36 months",9.17,"B","B1","3 years","RENT",50000,"Not Verified","debt_consolidation","117xx",10.18,4,"Nov-04",0,16,0,6072,48.6,24
"409744",8000," 36 months",17.57,"D","D2","2 years","RENT",45000,"Source Verified","other","704xx",4.96,0,"Apr-03",0,9,1,2778,36.6,19
"147796",30000," 60 months",23.63,"F","F3","9 years","RENT",67000,"Verified","debt_consolidation","912xx",26.47,0,"Jun-06",1,13,0,23005,75.7,15
"180422",3000," 36 months",16.29,"C","C4","5 years","OWN",65000,"Verified","home_improvement","601xx",16.86,1,"Oct-02",0,14,0,1560,26.4,25
"55580",12000," 60 months",24.5,"F","F3","9 years","OWN",60000,"Source Verified","other","190xx",14.3,3,"Sep-95",2,11,0,18316,67.3,36
"601335",12600," 60 months",19.19,"E","E3","< 1 year","OWN",30000,"Verified","debt_consolidation","322xx",17.09,0,"Apr-04",0,7,1,11798,72.8,12
"309159",15000," 36 months",9.17,"B","B1","9 years","OWN",51000,"Source Verified","credit_card","633xx",35.48,0,"Mar-93",0,14,0,26573,41.7,27
"346088",6000," 36 months",6.03,"A","A1","9 years","MORTGAGE",70000,"Not Verified","debt_consolidation","010xx",8.42,0,"Feb-00",0,10,0,1782,12.4,27
"877975",5000," 36 months",12.99,"C","C2","10+ years","RENT",52497.76,"Source Verified","other","207xx",12.8,0,"Dec-03",1,9,0,13829,82.8,16
"885616",35000," 60 months",14.99,"C","C5","2 years","MORTGAGE",179000,"Source Verified","debt_consolidation","773xx",13.03,0,"Apr-02",0,20,0,50913,71.8,62
"338164",8000," 36 months",10.99,"B","B3","10+ years","MORTGAGE",141432,"Source Verified","home_improvement","207xx",21.32,0,"Apr-97",0,21,0,15261,95.4,58
"11122",20000," 36 months",10.99,"B","B3","5 years","MORTGAGE",80000,"Verified","debt_consolidation","760xx",13.72,0,"Sep-96",2,12,0,15797,35.2,30
"164639",4800," 36 months",12.12,"B","B3","5 years","MORTGAGE",55000,"Not Verified","credit_card","294xx",15.77,0,"May-96",1,9,0,4314,30.6,16
"25157",5000," 60 months",16.82,"E","E2","2 years","MORTGAGE",115000,"Source Verified","medical","956xx",24.2,0,"Jan-89",3,18,0,19484,62.7,36
"260209",9600," 36 months",14.99,"C","C5","10+ years","MORTGAGE",52000,"Verified","credit_card","479xx",19.24,0,"May-08",3,17,2,10320,41.4,28
"821193",10000," 36 months",11.53,"B","B5","< 1 year","RENT",30000,"Source Verified","debt_consolidation","857xx",24.16,0,"Aug-06",0,10,0,7193,79,14
"732765",10950," 36 months",9.99,"B","B3","10+ years","MORTGAGE",45000,"Source Verified","credit_card","331xx",20.08,0,"May-02",0,17,1,8789,39.8,33
"806009",35000," 36 months",15.61,"D","D1","5 years","MORTGAGE",74000,"Verified","home_improvement","331xx",3.03,0,"Dec-07",0,12,0,3808,13.2,13
"398558",6000," 36 months",15.61,"C","C5","10+ years","RENT",45000,"Source Verified","debt_consolidation","735xx",11.79,2,"Aug-02",4,10,0,2939,44.5,40
"14095",7200," 60 months",13.49,"C","C2","6 years","RENT",63996,"Not Verified","other","330xx",1.09,0,"Mar-04",1,5,0,533,7.6,10
"677716",10000," 36 months",10.99,"B","B4","10+ years","MORTGAGE",65000,"Verified","debt_consolidation","462xx",22.97,0,"Oct-01",0,7,1,3694,36.2,21
"773750",14000," 36 months",11.53,"B","B5","n/a","MORTGAGE",70000,"Verified","debt_consolidation","627xx",11.35,3,"Jan-77",1,7,0,1612,7,29
"101616",10000," 60 months",24.5,"F","F3","< 1 year","MORTGAGE",67000,"Verified","medical","296xx",17.67,0,"Dec-98",0,10,0,13683,96.3,13
"560673",35000," 60 months",11.53,"B","B5","2 years","RENT",120000,"Verified","credit_card","300xx",20.77,0,"Sep-98",1,12,0,76584,85,27
"188293",3000," 36 months",15.8,"C","C3","9 years","RENT",57000,"Not Verified","other","925xx",30.23,0,"Jan-99",1,15,0,16548,55.7,41
"398092",12000," 36 months",10.99,"B","B2","5 years","MORTGAGE",133000,"Source Verified","credit_card","260xx",15.43,0,"Sep-09",3,8,0,6863,70,15
"225976",5000," 36 months",17.27,"D","D1","2 years","RENT",55000,"Not Verified","medical","750xx",5.93,0,"Jul-05",1,6,0,9762,92.1,9
"843145",15000," 60 months",16.55,"D","D2","4 years","RENT",40000,"Source Verified","credit_card","330xx",23.12,0,"Feb-07",1,10,0,13617,78.3,10
"399759",19200," 36 months",6.03,"A","A1","2 years","RENT",112000,"Verified","credit_card","100xx",19.33,0,"Oct-02",1,13,0,18263,44.8,22
"840944",11225," 60 months",25.8,"G","G1","5 years","MORTGAGE",46000,"Verified","credit_card","760xx",17.71,0,"Jan-05",3,25,0,11640,32.6,32
"662049",8000," 36 months",11.53,"B","B5","10+ years","RENT",72000,"Verified","debt_consolidation","750xx",19.94,1,"Oct-94",0,12,0,8865,72.7,28
"668422",13000," 36 months",12.29,"C","C1","10+ years","MORTGAGE",92000,"Source Verified","debt_consolidation","183xx",5.69,1,"May-96",1,12,0,13736,48,40
"213894",6000," 36 months",7.9,"A","A4","2 years","OWN",40000,"Not Verified","credit_card","752xx",13.88,0,"Jun-05",1,14,0,5465,9.8,23
"265807",23000," 36 months",14.49,"C","C4","< 1 year","RENT",50000,"Verified","credit_card","108xx",22.12,0,"Aug-00",0,12,0,30723,65.9,22
"714924",11000," 36 months",6.89,"A","A3","2 years","MORTGAGE",46000,"Not Verified","debt_consolidation","442xx",18.13,0,"Jul-04",0,17,0,3702,37,21
"592643",18000," 36 months",9.17,"B","B2","10+ years","OWN",49000,"Not Verified","debt_consolidation","339xx",26.58,1,"Oct-00",0,10,0,13155,51,26
"634641",20000," 60 months",13.99,"C","C4","2 years","MORTGAGE",135000,"Not Verified","debt_consolidation","786xx",9.66,3,"Mar-10",0,9,0,4986,68.3,14
"735392",23775," 36 months",10.99,"B","B4","3 years","MORTGAGE",80000,"Verified","debt_consolidation","351xx",19.69,0,"May-00",0,13,0,14911,41.9,21
"263078",7200," 36 months",17.57,"D","D4","10+ years","MORTGAGE",85000,"Not Verified","debt_consolidation","492xx",17.73,0,"Jul-96",0,15,0,18203,79.9,36
"543951",20000," 36 months",7.89,"A","A5","10+ years","RENT",68000,"Source Verified","credit_card","100xx",16.31,0,"Nov-88",1,10,0,19422,53.9,17
"820015",15000," 36 months",12.29,"C","C1","2 years","RENT",48000,"Source Verified","debt_consolidation","331xx",24.43,0,"Jan-97",1,10,0,13401,64.4,16
"387852",20000," 36 months",8.39,"A","A5","< 1 year","MORTGAGE",90000,"Source Verified","debt_consolidation","390xx",19.91,0,"Jan-99",0,7,0,18276,69.2,25
"658878",24000," 36 months",7.89,"A","A5","7 years","RENT",91000,"Source Verified","debt_consolidation","980xx",16.06,1,"Feb-93",0,16,0,31818,58.7,25
"508772",10000," 36 months",14.48,"C","C5","5 years","RENT",44000,"Source Verified","small_business","913xx",12.74,0,"Aug-04",1,7,0,8759,73,11
"184641",10000," 36 months",12.12,"B","B3","5 years","MORTGAGE",30000,"Source Verified","small_business","347xx",22.04,0,"Jul-04",0,4,0,5318,66.5,7
"622352",24000," 60 months",14.65,"C","C5","10+ years","MORTGAGE",75000,"Source Verified","debt_consolidation","021xx",14.93,2,"Feb-92",0,16,0,11890,62.6,27
"499741",15600," 36 months",11.99,"C","C1","8 years","MORTGAGE",72800,"Verified","other","580xx",18.11,0,"Apr-05",1,10,0,19973,43.8,17
"181709",24000," 36 months",11.14,"B","B2","7 years","MORTGAGE",110000,"Source Verified","debt_consolidation","598xx",15.48,0,"Dec-92",1,20,0,21639,55.3,29
"706450",10000," 60 months",12.69,"C","C2","< 1 year","OWN",50000,"Source Verified","credit_card","211xx",37.37,0,"Aug-06",0,12,0,9285,45.1,21
"283734",25000," 60 months",14.49,"C","C4","10+ years","MORTGAGE",140000,"Source Verified","debt_consolidation","781xx",16.42,1,"Aug-99",0,27,0,20544,78.7,52
"673921",8000," 36 months",12.29,"C","C1","2 years","RENT",45000,"Verified","debt_consolidation","029xx",34.21,0,"Feb-03",1,20,0,10002,22.1,41
"533171",16000," 60 months",8.18,"B","B1","3 years","MORTGAGE",67000,"Verified","debt_consolidation","077xx",1.34,0,"Dec-01",0,8,0,250,0.5,16
"131791",35000," 60 months",18.49,"D","D2","1 year","MORTGAGE",403200,"Verified","debt_consolidation","730xx",15.33,0,"Nov-93",0,18,0,7270,29.7,53
"268856",28000," 60 months",9.17,"B","B1","10+ years","MORTGAGE",120000,"Source Verified","credit_card","728xx",17.72,0,"Aug-97",0,9,0,72670,92.6,27
"761232",15000," 36 months",6.92,"A","A4","1 year","RENT",120000,"Not Verified","other","953xx",14.81,0,"May-00",0,7,0,17638,53.9,22
"451017",18500," 60 months",10.99,"B","B2","10+ years","OWN",137000,"Source Verified","debt_consolidation","724xx",15.48,0,"Jun-86",1,10,0,22621,34.2,52
"825073",24000," 60 months",10.99,"B","B4","10+ years","RENT",76800,"Source Verified","credit_card","075xx",23.64,0,"Feb-89",1,23,0,35509,57.1,35
"836536",11850," 36 months",16.99,"D","D3","3 years","RENT",35000,"Verified","debt_consolidation","026xx",29.9,0,"Apr-08",0,9,0,17030,92.1,13
"438276",15000," 36 months",9.67,"B","B1","1 year","RENT",72000,"Not Verified","debt_consolidation","945xx",13,0,"Mar-95",3,11,1,14897,59.4,17
"14757",10000," 36 months",7.49,"A","A4","10+ years","OWN",59000,"Verified","major_purchase","890xx",9.82,0,"Sep-96",0,4,0,83,0.4,16
"8017",3500," 36 months",12.99,"C","C1","5 years","RENT",38400,"Not Verified","debt_consolidation","808xx",20.59,0,"Oct-98",0,8,0,24258,96.3,19
"878721",20000," 36 months",6.49,"A","A2","10+ years","MORTGAGE",130000,"Source Verified","debt_consolidation","605xx",11.71,0,"Dec-89",1,16,0,21401,34.3,26
"2864",2500," 36 months",11.71,"B","B3","6 years","OWN",61440,"Not Verified","other","890xx",18.34,0,"Feb-03",3,5,0,6929,82.5,20
"705631",4800," 36 months",13.99,"C","C4","4 years","RENT",55000,"Not Verified","debt_consolidation","129xx",14.25,0,"Oct-05",0,13,1,5193,40.3,25
"73872",24175," 36 months",10.99,"B","B2","5 years","MORTGAGE",82000,"Source Verified","debt_consolidation","104xx",14.54,0,"Mar-01",0,7,0,20134,82.5,9
"113300",15000," 36 months",15.88,"C","C4","5 years","MORTGAGE",250000,"Source Verified","major_purchase","019xx",8.43,0,"Oct-98",0,15,0,13752,60.1,32
"582718",25000," 60 months",16.99,"D","D3","6 years","MORTGAGE",60000,"Not Verified","debt_consolidation","121xx",15.72,0,"Oct-97",1,9,0,28480,71.4,25
"275049",28000," 36 months",7.12,"A","A3","10+ years","MORTGAGE",350000,"Source Verified","debt_consolidation","370xx",5.97,0,"Apr-91",0,16,2,55870,59,28
"860573",14000," 36 months",14.99,"C","C5","1 year","OWN",35000,"Source Verified","debt_consolidation","113xx",27.95,1,"Feb-96",0,12,0,8121,22.2,20
"800586",11000," 36 months",11.53,"B","B5","10+ years","MORTGAGE",78000,"Not Verified","debt_consolidation","875xx",23.95,3,"Jun-84",0,17,0,20538,69.9,39
"628124",16800," 60 months",8.18,"B","B1","3 years","MORTGAGE",50000,"Source Verified","debt_consolidation","985xx",14.59,0,"May-05",0,5,0,30105,32.3,10
"711510",20000," 36 months",16.99,"D","D3","< 1 year","RENT",90000,"Verified","debt_consolidation","731xx",30.92,0,"Jan-95",0,22,0,28623,64,46
"189229",5400," 36 months",7.62,"A","A3","8 years","RENT",45000,"Not Verified","debt_consolidation","100xx",1.99,0,"Nov-06",1,6,0,3340,22.6,13
"20333",7200," 36 months",7.29,"A","A4","10+ years","RENT",40351.56,"Verified","debt_consolidation","980xx",17.75,0,"Sep-86",0,6,1,2430,42.6,9
"405020",20000," 36 months",13.65,"C","C1","< 1 year","MORTGAGE",69497,"Not Verified","debt_consolidation","234xx",26.23,0,"Sep-00",1,24,0,15641,40.1,62
"868115",2750," 36 months",20.99,"E","E4","6 years","RENT",25585,"Verified","small_business","975xx",22.65,0,"May-02",3,6,1,1384,46,13
"315349",20000," 36 months",10.15,"B","B2","9 years","MORTGAGE",60000,"Source Verified","debt_consolidation","740xx",15.72,0,"Jul-99",0,10,0,21526,64.8,19
"655816",18000," 60 months",18.55,"E","E2","5 years","RENT",48000,"Source Verified","credit_card","977xx",29.93,0,"Jun-01",1,16,0,13855,46.5,25
"135913",6000," 36 months",10.16,"B","B1","2 years","RENT",50400,"Verified","debt_consolidation","462xx",9.36,0,"Oct-08",0,8,0,3278,48.2,13
